sailnumber	name	type
NOR/NOR15520	ANNA	Sun Od 36i Perform
ITA/ITAANNAC	ANNA	SUN ODYSSEY 409
GRE/GRE49687	ANNA KATERINA	SUN ODYSSEY 37.1
GRE/GRE920	ANNA MARIA II	ATLANTIC 31
ITA/ITA17276	ANNAMARIA 1^	SUN ODYSSEY 42 I
NED/NED2899	ANNEKE V	Victoire 34 x1.87
FRA/FRA5689T	ANNOKIA	X 3/4 TON Mod
ESP/POR5500	ANOTHER FIVE	FIRST 47.7
AUS/7447	ANOTHER PAINKILLER	FIRST 44.7
KOR/KOR8718	ANSAN	Bavaria CR 41 S
GER/GER7326	ANTARES	VICTOIRE 933 SD
GRE/GRE1403	ANTARES	
ITA/ITA14241	ANTARES	IMX 40
ITA/ITA12577	ANTARES	FIRST CHALLENGE
ESP/ESP4043_C	ANTAVIANA III	FIRST 30 ES
ITA/ITA15011	ANTIGONE	SALONA 40
ITA/ITAANTIG	ANTIGRAFFIO	J 80
ITA/ITA13693	ANTINEA	GRAND SOLEIL 42
GRE/GRE1218	ANTIOPE	BAVARIA 36
GRE/GRE3859	ANTIOPI II	DUFOUR ARPEGE
ITA/FRA7460	ANTIPOLIS	IOR 3/4 TON '78
ITA/ITA17107	ANTONELLA	DUFOUR 325 GL
ESP/NOR11860_C	APEX	FIRST 44.7
ITA/GER45036	APHRODITE	SWAN 45
GRE/GRE1880	APIDALOS NAFS	IMX-40
FRA/FRA43918	APLYSIA 3	SUN FAST 3200 R2
GRE/GRE1562	APODRASI	OCEANIS 411 CLIPER
GRE/GRE1717	APOLLON	DUFOUR 350
GRE/GRE84	APOLLON	SUNSHINE 36 ST.EXT
KOR/KOR790	APROMAN	TAKAI 34 IMS
ITA/ITA15247	AQUARANTA	A 40
ESP/GBR744R	AQUARELLE 1	FRERS 45
GRE/GRE1412	AQUARIUS	COMET 850
SUI/SUI808	AQUARIUS	DEHLER 33 CR
NED/NED1652	AQUARIUS	Pionier 10
ESP/AUT070	AQUILA	JV 49
ITA/ITA11682	AQUILANTE	GRAND SOLEIL 343 G
ESP/ESP7686_R	AQUILON	DEHLER 36 JV
ESP/ESP7686	AQUILON	DEHLER 36 JV
