sailnumber	name	type
ITA/ITA14334	COMETA DUE	CLASS 33
ARG/ARG4107	COMPLICE	VAN 30
SUI/SUI133	COMTESSE	ESSE 850
ESP/ESP2964	CON CAALMA II	FIRST 32 S 5
NED/BEL6372	CON SPIRITO	Spirit 37x1.98
GRE/GRE49340	CONCETTA	ALOA 27
AUS/YC45	CONCUBINE	Mills 45 Custom
ARG/ARG809	CONFIANZA CIEGA	RG 650
ESP/ESP7517_C	CONSTANCIA II 	GIB SEA 302
ESP/ESP10052	CONSTANTE	GOLFIÑO 7,25
ITA/ITA16031	CONTEMAX IV^	SUN ODYSSEY 42 P
POR/POR1626	CONTRASTES	FIRST 36.7
ITA/ITA3300	CONTROCORRENTE	XP 33
KOR/KOR6734	COOL PEACH II	SOTO 36 C/R
NED/NED7070	COOL RED	Spirit 36 DD
ESP/GBR4631	COOL WAVE	Tripp 33
ESP/ITA14694	CORATGE	SWAN 45
ITA/ITA533SU	CORIANDOLI	SURPRISE
ESP/ESP10199_C	CORPI 2.0	SUN ODYSSEY 28.1
ESP/ESP4603_C	CORRECAMINOS	BRENTA 24
GRE/GRE1607	CORRENTE	SUN ODYSSEY 33.1
AUS/950	CORROBOREE	ROBERTSON 950
ESP/ESP4134	CORSARIO VI	FIRST 45F5
ITA/ITA196M24	CORTO MALTESE	MELGES 24 OD
ITA/ITA16357	CORTO MALTESE	FY 49
ESP/ESP8121	CORTOMALTES UNO	X-35
ITA/ITACORTO	CORTOMALTESE	FOCUS 850
GER/BOD832	CORVUS	LONGTZE PREMIER
GER/BOD847	CORVUS ALBUS	LONGTZE PREMIER
GRE/GRE1162	COSMAR	BAVARIA 36 HOLIDAY
ESP/ESP7101	COSTA ESTE	GRAND SURPRISE
ESP/EUR36002_C	COSTELLATION	SOLARIS 36 OD
ESP/ESP10240	COTA CERO	DUFOUR 36 P
ESP/ESP10491_C	COURANT D'AIR	J 70
FRA/FRA43772	COURRIER DU LEON	JPK 10.80
ESP/ESP2311	COYANZA	RUSH 31 SK
FRA/FRA9812	COYOTE	FIRST 40.7 Ra DK
ITA/FRA9070	COYOTE	FIRST 1T EVOLUTION
GRE/GRE49343	CPT CAMFON	TRAPPER 500
ESP/ESP5158	CREMISE	RANGER 32
ITA/ITA14177	CRI CRI 2	X-332 SPORT
ITA/ITA17406	CRIC	FIRST 21.7 S
BRA/BRA2474	CRIOULA 29	S 40 OD
GRE/GRE1495	CRISTEL	CONDOR (TARTAN) 37
ITA/ITA329	CRISTIANA.TI	GRAND SOLEIL 44
ITA/ITASTINA	CRISTINA	KOALA 34
POR/POR8531	CRISTINA A	FIRST 30
ESP/ESP5581_C	CRISTINA V	PUMA 29-J
ITA/ITA17407	CROC	FIRST 21.7 S
NED/NED1675	CROIX DU CYGNE	Swan 37
ITA/ITA18203	CRONOS 2	GRAND SOLEIL 42RMO
GER/BONE2293	CROSSBONE	B/ONE
ARG/ARG2101	CROSSBOW 2	D'ANGELO 30 R
USA/USA55155	CROSSFIRE	Unknown
ESP/ESP8737_C	CRYSEL	DEHLER 37 CWS
GRE/GRE1371	CRYSTALLIA	OCEANIS 381
NED/NED8118	CSI Rakker	A-31
ESP/ESP1955	CUATRO VIENTOS	ELAN 333
ITA/ITA17151	CUCCIOLONA	SUN ODYSSEY 42 i
ARG/ARG5720	CUIQUE SUUM VI	32DUE
NED/NED6927	CULLUS	Oceanis 393
ITA/ITA107UFO22	CUORE	UFO 22
GRE/GRE8041	CYCLADES FORCE	FIRST EVOLUTION ST
SUI/SUI400	CYRUS	X-99
RSA/RSA2018	Cabaray	Van de Stadt 34
NED/NED8960	Cadans	HALLBERG RASSY 35
CRO/CRO2264	Calamari	Bavaria CR 41
CRO/CRO1914	Calanthe	Salona 44
NOR/NOR14447	Calluna	Hanse 325
CRO/CRO1898	Calvados	Salona 38
NED/NED4430	Camelot	C & C 44 WK
NOR/NOR15603	Cantomar	Dehler 38c 13-
NED/NED6969	Cap	Grand Surprise
NOR/NOR12117	Caparai III	SW YACHTS 45
CRO/CRO1461C	Cape Cod	Bavaria 42 Match
RSA/RSA4482	Cape Dancer	Pacer 380
RSA/RSA4482DH	Cape Dancer	Pacer 380
RSA/MON888	Cape Fling II	R/P 52
NOR/NOR195	Capere Ventus	CAL 48
CRO/CRO1845	Capivari	Bavaria CR 40S
NOR/NOR8915	Capriccio	VICTORY 42
BUL/BUL45	Caramel	Trapper 500
NOR/NOR8528	Careika II	LINJETT 33
NOR/NOR15530	Carioca	Dufour GL 350
NOR/NOR13891	Carisma	Bavaria 40 Vision
NOR/NOR15118	Carisma II	Bavaria 46 Vision
NOR/NOR13525	Carmencita	Dufour 34
NOR/NOR11448	Caro	Dufour 385
NED/NED9012	Caro Mio	Tofinou 12
NOR/NOR14605	Carolina av alvøen II	Elan 37 dyp kjøl
NOR/NOR14408	Caromilla	Elan 350 grunn kjø
RSA/RSA1011	Carousel	Oceanis 390
AUT/_1	Carpe Diem	OCEANIS 430
HKG/HKG062	Carter USM	Magic 25
CRO/CRO2542	Cassiopeia	Bavaria CR 37
HKG/HKG022	Catch 22	Magic 25
NOR/NOR9333	Cavatina	LUFFE 43
NOR/NOR15	Cayenne	Sun Fast 3200
NOR/NOR12111	Cebina	GRAND SOLEIL 40 C
NED/NED8460	Cerva	DEHLER 41
CRO/CRO1783	Ceti	Hanse 47
NOR/NOR5849	Chakita	COMPIS 36
CRO/CRO1809	Champagne	Salona 38
AUT/AUT2000	Champagne	Janneau 57
RSA/SA004	Chazaq	Ocean 31
NED/NED14884	Checkmate	X-37
RSA/SA893	Chen	Miura
EST/EST633	Cherie	First 35
CRO/CRO1810	Cherry	Salona 38
NED/NED6568	Chickx	X-372 sport
NOR/NOR15672	Chill	Seascape 18
RSA/RSA688	Chinook	Farr 38
NED/NED8864	Chiquitina	Elvstrom 1/4 ton
MNE/MNE2	Chita	Amon 940
NED/NED7566	Chouette III	Beneteau 25
NOR/NOR4939	Christiane	MAXI 95
NOR/NOR10776	Christina	SUN FAST 36
CRO/CRO2370	Ciao	Bavaria CR 41S
NED/NED2043	Ciao Baby	Waarschip 725
NOR/NOR13957	Clupea	K-38
RSA/SA7100	Co-ordination	L 26
SUI/SUI59	CoCoRoxy	Xp-33
NOR/NOR15360	Coccos	Sun OD 349
CRO/CRO1899	Cocktail	Salona 38
NOR/NOR14776	Coco	Bavaria 32
CRO/CRO3535C	Coco Loco	First 35
NED/NED342	Coin Coin	Sydney 43 GTS
RSA/RSA70	Colour of Magic	L 26
NOR/NOR15386	Comfortably Numb too	COMFORT 34
NED/NED8729	Comodo	Compromis 888 Clas
NED/NED8782	CompanJon	JON 33
NOR/NOR13048	Consensus	X-34
AUS/6138	Conspiracy	Sydney 38 OD
NED/Ned8137	Cool 'n Fast	Sun Fast 32I
NOR/NOR12183	Cooling	Bavaria 39 Cr
NED/NED2810	Coolkid	Starbuck
NED/NED8493	Coppelia	Jeaneau Rush 32 
CRO/CRO1085c	Coral VII	Salona 380
CRO/CRO1085	Coral VII	Salona 380
NOR/NOR1066	Corazon	EXPRESS
ISR/ISRKA83	Cordonbleu	Etchell
RSA/SA969	Corum	Briand 43
NOR/NOR15234	Cosinus	Bavaria Cruiser 40
NOR/NOR12329	Costa Mer	Hanse 371
USA/USA105	Cougar	MELGES 30
NED/NED7914	Covergirl	Winner 950
NOR/NOR916	Crazy Bananas	EXPRESS
NOR/NOR9207	Criado	J-24
RSA/RSA31003	CuAl6(PO4)4(OH)8.4H2O	Cape 31
RSA/RSA31003OD	CuAl6(PO4)4(OH)8.4H2O	Cape 31
NOR/NOR12310	Cumulatus	Comet 45S
NED/NED7470	Customer Contact Company	J-109
ISR/ISR699	Cyclop	Salona 34
GRE/GRE49514	D.X.M.	GIBSEA 96
GRE/GRE49132	DADDY	UFO 27
ITA/ITADAFTE	DAFNE	EDEL 6
CAN/CAN11	DAIA	X-41
ITA/FRA22615	DAM DELINE	SURPRISE
ITA/ITADAMAB	DAMA DI BELLAGIO	30 MQ SVEDESE
ITA/ITA16747	DAMANHUR	COMET 45
GRE/GRE1210	DAMSON	SUNRISE 35
FRA/FRA34866	DANAE V	JPK 960 Sym
ESP/ESP9309_C	DANAR TERCERO	BAVARIA 42 CR DK
GER/GER5762	DANTES	SWAN 48
ITA/ITA15712	DARA 3	SLY 42
AUS/RF5095	DARE DEVIL	FARR 47 (ONE OFF)
BUL/BUL69	DARINA	APOLLO 12
ITA/ITA9940	DARIO 4	LEGNOMANIA
AUS/SM69	DARK & STORMY	Murray 37
USA/USA9700	DARK STAR	RIPTIDE 44
ESP/ESP3048_C	DAROAN	FIRST 32S5 (BK)
ESP/ESP9898_C	DAX	DUFOUR 34
NED/NED8357	DAZE	Comfortina 42
NED/NED6823	DE BUURMAN	Victoire 933 x1.45
GRE/GRE49279	DE MALO	X-119
GRE/GRE22	DE MALO V	GIBSEA 35-1
NED/NED3164	DE SPIN	J-24
NED/NED4295	DE WESTFRIES	Norlin 37
ESP/ESP9560_C	DEBEGUR	MEIRA V-900
GRE/GRE1678	DECISION	OCEANIS 440
GRE/GRE361	DECLARE	J-24
FRA/FRA15063	DEDALE	JOD  35
ESP/ESP6416	DEEP BLUE	YATLANT 24
NED/NED6091	DEINUMEID	Waarschip 900 plus
ESP/FRA27124_C	DEIXANT	FIGARO
AUS/RQ432	DEKADENCE	DK 46
NED/GBR7873	DEKADENT	Sun Fast 37
GRE/FRA27926	DELFINETTA	MARIEHOLM 26
ITA/ITA102SOL	DELFINO BLU	SOLING OD
ESP/ESP9887	DELFYNA	FIRST 25.7
BRA/BRA2015	DELIRIUM	DELTA 32
FRA/FRA36506	DELISS	MISTRAL 750 Sym
NED/NED4514	DELOS	HURLEY 800
ITA/ITA15338	DEMON X	X-35
ITA/ITA14985	DENEB	FIRST 36.7
GRE/GRE708	DENIS K	SUN LIGHT 31
ESP/ESP7445	DES-AHOGO	COMET 45S
ESP/ESP6239_C	DESASTRE	AQUILA
ESP/ESP10425_C	DESIREE	AZUREE 46
ITA/ITA12229	DESIREE	ZIGGURAT 916
GER/GER5588	DESNA	KNIERIM 49
ESP/ESP14	DESPELOTE	DUFOUR 34 DKB
GER/GER6524	DESSERT D'ALCYONE	FIGARO 2
GRE/GRE1009	DESTINY	ATLANTIC 31
GRE/GRE1755	DESTINY	BAVARIA CRUISER 45
ITA/ITA579M24	DESTRIERO	MELGES 24 OD
ESP/BEL3501_C	DIABOLIC	SUN FAST 35 (2.15)
ITA/ITA17363	DIAMIR	ELAN S3
GRE/GRE1820	DIAS	FIRST 38 S5
GER/GER6791	DICKE BANK	VICTOIRE 1200
ITA/ITA13310	DIECI E LODE	TEN PF
ITA/ITA10311	DIECITRENTUNO	FIRST 44.7
FRA/FRA35930	DIEGO	BONGO 9.60
ESP/ESP8471	DIESELREC	X-35
GER/GER2937	DIESKOPP	J/V 39
GRE/GRE1663	DIINEKIS	DUFOUR 30 CLASSIC
ESP/ESP10331_C	DIJOR	Elan 434 Impressio
ESP/ESP10049	DILIGENTE	GOLFIÑO 7,25
NOR/NOR10140	DILL	IMX 40
CAN/6314	DILLIGAF	930
ITA/ITADIOGE	DIOGENE	BAVARIA 32 CRUISER
ITA/MLT396	DIOMEDEA	DEHLER 39 SQ L.E.
EST/EST998	DIRECTO	ITALIA 9.98
GER/GER6634	DISCO VOLANTE	X-34
ITA/ITA685SO	DISVELA.IT	Sonar
ARG/A3909	DIVA	BORA BORA 42
NED/BEL14120	DJ	J-105
ESP/ESP1234	DKTEGORIA	DK 46
NED/NED1869	DOBBE	Halcyon II 27'std
ITA/ITA406J24	DOCTOR J	J-24
GER/GER6332	DOGMATIX	X-332
GBR/GBR7207	DOGS JORROCKS	J-24
ITA/ITA12522	DOLASILLA	FIRST 210
ITA/ITA35125	DOLCENERA	X-35 OD
ARG/ARG3149	DOLPHIN III	F&C 37
SUI/SUI24	DOMINA	M 2
ARG/ARG4915	DON ANTONIO	FRAN 37
ARG/ARG4664	DON IGNAZIO	MARTINOLI 31
ESP/ESP327	DON PANSA	COCO 6.50
GRE/1810	DON QUICHOTTE DL MANCHE	POGO 12.50
ESP/ESP10051_C	DON VIRIATO	OCEANIS 40
ITA/ITA16697	DON'T WORRY	DUFOUR 40 P
ITA/ITA17148	DONNA BEATRICE II	HANSE 415
GER/GER7109	DONNA KLARA	DEHLER 38 C
ITA/ITA17084	DONNAROSA2.0	OCEANIS 55
ITA/ITA16993	DONT FORGET TO SMILE	ELAN  E4
GRE/GRE401	DORIAN	YCA 29
ESP/BEL21_C	DOSPERU II	Elan 34
BRA/BRA2289	DOURADO	FIRST 40.7
FRA/FRA27902	DR JEKYLL	J-92 S
ESP/ESP10157	DRAC BLAU III	KAYTERET 770
AUS/RQ6165	DRAKE'S PRAYER	FIRST 40.7
ITA/ITA14736	DREAM AWAY	FIRST 36.7 MOD.
NED/NED7023	DREAM MACHINE	J-105
ITA/ITA15146	DREAMER	GRAND SOLEIL 43
AUS/1545	DREKI SUNNAN	FIRST 45
ITA/GBR1720	DRUID MAGIC	CORK 1720 SB
ITA/ITA14024	DUCHESSA	GRAND SOLEIL 37
FRA/FRA38398	DUCKWALL POOLEY	FIRST 42S7 Race
ITA/ITA16090	DUE R ... NEL VENTO	FIRST 40'
AUS/ESP6100	DUENDE	IMS R 52
ESP/ESP7452	DUENDE 52	TP52
ITA/ITA16134	DUFFY	DUFOUR 34
BRA/BRA2411	DUMA	FARR 11S
ITA/ITA201M32	DUMBO VIT	MELGES 32 OD
FRA/FRA19963	DUNAMIS	X-332 DK
NED/NED2938	DWARSKOP	X-102 (Mod.)
GER/GER7262	DWINGER 2.0	SUN FAST 3600
GER/DY217	DYNAMIT	DYNAMIC 2000
GER/DY3533	DYVERTIMENTO	DYNAMIC 35
NOR/NOR4236	Dalarina	WASA 360
NED/NED8664	Dame Blanche	Varianta 37
AUS/222	Dancelot	Cavalier 28
NED/NED8919	Dancing Queen	MOODY 38
NOR/NOR14740	Danica	Hanse 400 10-
NED/NED8115	Dante	Sweden Yachts 54
NOR/NOR10042	Dawn II	GRAND SOLEIL 40 C
ISR/NED8319	Daya	T 34
NED/NED8917	De Lendte	Dehler 34 2016
NED/NED8872	De Prins	Hanse 470e
NED/NED7518	De Ruyter	PB 44
NED/NED8827	De Ware Lubach	Waarschip 725
NED/NED1870	De Wiekslag	Zeeslang
NED/Ned8157	DeGroet-Yes	ARGO 680
NED/FRA34983	Decatur	Archambault A35
NED/NED8539	Deep	Fareast 26
CAN/CAN17	Defiant	FARR 40
NED/NED8448	Dehlicious	Dehler 35 SV
NED/NED8429	Dehlirious	Dehler 36
NOR/NOR14739	Deidrès Samba IV	Bavaria 40 Cruiser
NOR/NOR14035	Delan	Elan 310
NED/NED8768	Delizia	Saffier SE33
NED/NED8524	Denonzen	Breehorn 37
RSA/RSA1209	Derbigum	Montevedeo 43
AUT/AUTotto	Desperado	Grand Soleil 463 
EST/EST415	DiWeiss	BAVARIA 35 Match
NOR/NOR14803	Didi	C-55
NOR/NOR11252	Dina	Dufour 34 Performa
NED/NED8714	Dinky Toy	Pogo 850
NED/NED8662	Dito	Etap 34 S
NOR/NOR14489	Diva	Hanse 430
NED/NED7987	Diva	First 45
NOR/NOR747	Dixie	WILLING 31 LR
CAN/CAN51647	Dolce	First 40.7
NED/NED8336	Dolce Vita	Italia 10.98
NED/NED8709	Donna Anna	OCEANIS 37
NOR/NOR10925	Doris	Dufour 34 Standard
NED/HKG2192	Double Edge	CORBY 38
NOR/SWE3	Drak lunne	Bavaria 38 Match
NOR/NOR5226	Drambuoy	COMFORTINA 32
NOR/NOR5794	Draumen 2	COMFORTINA 32
GBR/GBR7773	Drumlyn of the Seas	Impression 434
NED/NED6938	Druzix	X-362 sport
NOR/NOR15279	Drømmen Om lykke 	Bavaria 32 holiday
NED/NED8796	Due	First 31.7
NOR/NOR10750	Duppen	ELAN 31
NOR/NOR4401	Dussi II	HR 312
NOR/NOR11738	Duva	Bavaria 37 CR
NED/FRA15730	Dynamix	747
GER/E85148	DÉESSE	ESSE 850
SUI/SUI031	DÉESSE	Esse 750
NED/NED7387	E-Motion	ELAN 37 mod
POR/POR5356	EAGLE TWO 	XP44
NED/NED7597	EALA	X-40
NED/NED7484	EARLY BIRD	Elan 37x2.05
ITA/ITA16846	EASY	EASY 27
GER/GER474	EASY RACE	DEHLER 36 DB
ITA/ITA3536SB	EAVLE	SB20 ONE DESIGN
JPN/JPN3663	EBB TIDE	B&C IMS37CR
GRE/GRE5	ECHIONAS	IMX-38
GER/D34548	EEASY	DEHLER 34
ESP/ESP10473_C	EFESERO	EDEL 6
ITA/ITA10992	EGICLA	COMET 850
NOR/NOR15634	EGO	Dehler 38 13-
ESP/ESP6316	EGOA IV	IMX 40
GER/GER7030	EINSTEIN	FARR 30
NOR/NOR5105	EIR	ALBIN DELTA
ESP/ESP10431_C	EL BAHIRA	SUN ODYSSEY 43 DS
ESP/ESP10206	EL CARMEN	SINERGIA 40 Mod.
NOR/NOR11028	EL DORADO	Dufour 34 Performa
ESP/ESP7302_C	EL JALEO	FIRST 36.7
FRA/FRA5797	EL PEPITO	IMPENSABLE
GRE/GRE957	EL PRINE	CARIBBEAN 40 ST.XT
ESP/ESP6539	EL TRAVIESO	X 332 SPORT
ESP/ESP10176	ELAMAR	DUFOUR 325 GL DK
ITA/ITA9855	ELAN	STAG 32
ITA/ITA12594	ELCA	GRAND SOLEIL 50'
AUS/N2099	ELEKTRA	FIRST 47.7
ITA/ITA16980	ELEN	GRAND SOLEIL 45 JV
GRE/GRE779	ELENA	AEGEAN 234
AUS/65007	ELENA NOVA	J/V 42
GRE/GRE4918	ELEONORA	CARTER 33
ITA/ITA430J24	ELETTRA	J-24
ITA/ITAELETTR	ELETTRA	FIRST 47.7 SD
NED/NED6662	ELF	Kalik 30
GER/GER6050	ELFE OF NEW YORK	C&C 110
GER/GER5348	ELFIN	LUFFE 48
GRE/GRE1446	ELISAVET	
GRE/GRE4424	ELISSO	CORINTHIAN 28
ITA/FRA18828	ELIXIR	X-332
GER/GER5784	ELKE 8	BAVARIA 47 
GER/GER6804	ELLA	LUFFE 4004
GRE/GRE777	ELLI	RHODES RANGER 28
GER/GER6409	ELLIDE	J-109
GRE/GRE2006	ELLINIXX	IMX-40
ESP/ESP10185	ELMER PRIMERO	FIRST 285 Q.B.
ESP/ESP7836	ELS MENUTS	RO 330 (SD)
ITA/ITA182SOL	ELVSTROM	SOLING OD
GER/GER6868	EMBER SEA	BRENTA 55
ESP/ESP7647	EMERGENCIES SETMIL	DUFOUR 40 KB
ITA/ITA17380	EMILIAPICCOLA	DIVA 40
NOR/NOR15314	EMITINE	Sun OD 439
GER/GER6261	EMMA	SWAN 60
GER/BOD133	EMMA	X-34
NOR/NOR14029	EMMA	Bavaria 34 Cruiser
ITA/ITA12482	EMOTION	SWAN 391
POR/ESP6966	EMOTION	COMET 41S MOD.
NED/BEL62111	EMRAR 3	Contest 62
ESP/ESP10144_C	EMV XIV	Dufour 445 GL
ITA/EUR36017	EMY TOO	SOLARIS 36 O.D.
GRE/GRE49129	ENALLAX	X-99
FRA/FRA35998	ENCOUNTER	ONE OFF
FRA/FRA9795	ENDLESS SUMMER	ONE OFF B13-50
ITA/ITA4888	ENDLESSGAME	COOKSON 50 CANT
ITA/ITA3703	ENERGY	IMX 40
ESP/ESP9862_C	ENERI	HANSE 341 DK
ESP/ESP8697	ENEWTEC	FIRST 34.7 SD
ESP/LUX1544	ENIGMA	GRAND SOLEIL 44 R
ESP/FRA47346_C	ENIGMA	SENSE 55
AUS/GBR5790R	ENIGMA	FIRST 47.7
GRE/GRE1146	ENJOY	J-105
ITA/ITA564M24	ENJOY	MELGES 24 OD
ITA/ITA13277	ENRIBET	FIRST 40.7
AUS/RQ0052	ENVY SCOOTERS BEACHBALL 	TP52 J/V
ESP/FRA15084_C	EOWIN 2	J.O.D. 35
ITA/ITA16961	EPHEMERIS	HANSE 370
NED/NED4762	EPOXYDUS	Agari
GRE/GRE49167	EQUINOX	X-372
FRA/FRA13126	ERA ORA	FIRST 28 DK
ITA/ITA9795	ERA ORA	3/4 IOR
ITA/ITA13954	ERA ORA 2	SUN FAST 40
ITA/ITA058UFO22	ERAORA	UFO 22
GRE/GRE1410	ERATO	DUFOUR 30 CLASSIC
ITA/ITA1657	ERICA	SURPRISE
ITA/ITA14215	ERIKA	CROCODILE 25
GRE/GRE895	ERINNI	X-562
GRE/GRE49335	ERODIOS	DROMOR 26
GRE/GRE1050	ERYTOS II	JV 44
ESP/ESP10171_C	ES PINYOL PRIMER	FURIA 28
NOR/NOR11841	ESCAJOSA 	Bavaria 37 CR
ITA/ITA137	ESCANDALO	M37
SUI/SUI15	ESCAPADE	SEASCAPE 27
ITA/ITA13196	ESCAPE	MESCAL 31 MOD.
ITA/ITA16931	ESCARGOT	SUN ODYSSEY 40.3
ESP/ESP5635	ESCERT	RO 330 (DK)
ITA/ITA10808	ESCONDIDA IV	FIRST 38
FRA/FRA35270	ESKIL	X-332 DK
SUI/SUI7012	ESMERALDA	Comet 700
NED/NED5666	ESPRIT DE CELIEDE	Spirit 36 S
SUI/SUI9910	ESSE 990	Esse 990
ITA/ITA15542	ESSENZA	QUEEN 34'
ITA/ITA99001	ESSENZIALE	ESSE 990
ITA/ITA24051	ESTASI	ESTE 24
ARG/ARG5253	ESTELA	LOTZ 270
GER/GER6713	ESTELLA	DEHLER 32 JV
GRE/GRE6238	ESTELLA	FIRST 42 S7
ESP/ESP7982	ESTEPONA.COM	X-35
GRE/GRE30	ESTRELLA	DUFOUR 30 CLASSIC
GRE/GRE1653	ESTRELLA	APOLLO 12
ESP/ESP7588_C	ESTRELLA	TUCANA 28 SD
ESP/ESP10397_C	ESTUPENDU III	FIRST 42 S7
ESP/ESP8497_C	ETNOG	OCEANIS 361Clipper
ESP/ESP4868_C	ETREUS II	DUFOUR 412
ITA/ITA16404	EUGENIA	X-442
AUS/7120	EUPHORIA	J 120
ITA/ITA15636	EUREKA	BENETEAU 57 2.10
ESP/ESP1122_C	EUREKA II	CATALINA 36 
ITA/ITA16926	EURISTICA	X-332
FRA/FRA27639	EUROPE	BAV-35 Match Q MK2
ESP/ESP7442_C	EUROYPA	FIRST CLASS 8
BRA/BRA2445	EURUS	J-24
ITA/ITA252J24	EUTERPE	J-24
ITA/ITA17247	EVA I LNI REGGIO CALABRI	OCEANIS 40
SUI/SUI600	EVANESSE	PSAROS 33
AUS/8565	EVE	SWAN 65
GRE/GRE1830	EVELIN G	BAVARIA 38 HOLIDAY
GRE/GRE1208	EVELINA	COMET 850
EST/EST477	EVELYN III	First 34.7
NED/NED6021	EVENING TIDE	Dynamic 37
NED/NED8611	EVENTYR	XP 38-210
GRE/GRE1192	EVITA K	ATLANTIC 31
ITA/ITA13678	EVOLUTION	EVOLUTION 10
GRE/GRE1714	EVZAN	OCEANIS 311
GRE/GRE1000	EX ANIMO	SUNRISE
GRE/GRE1362	EX ANIMO	ELAN 31
GRE/GRE1310	EX OFFICIO	X-40 SPORT
AUS/5223	EXCAPADE	NSX 38
ITA/ITA14711	EXCELLENT	BAVARIA 38 MATCH
GER/GER4947	EXCITEMENT	FIRST 47.7
NED/NED4232	EXIT	Sprinta Sport
NOR/NOR710	EXPLOCROWD	EXPRESS
GER/EX434	EXPLODE4US	EXPRESS
AUS/G4646R	EXTASEA	DK 46
ITA/ITA12001	EXTASY	X-412
GER/X99176	EXTRA 3	X-99
ITA/ITA265M24	EXTRAVAGANCE	MELGES 24 OD
POR/POR8560	EXTREME	FIRST 40.7
GRE/GRE894	EY	WESTERLY 26
USA/USA39504	EYE CANDY	FARR 395
FRA/FRA9777	EYE CANDY	SYDNEY 38 OD
GER/GER7261	EYE OF THE WIND	HANSE 400E
NOR/NOR14741	Ea	Hanse 312 dyp kjøl
USA/USA298	Eagle's Eye	FAREAST 28R
CRO/CRO2542	Easy Eleven	Bavaria CR 41S
NED/NED7696	Easy Living	First 34.7
NOR/NOR11757	Easy Match	Bavaria 35 Match
NOR/NOR10947	Easygoing	X-46 grunn kjøl
NED/NED8865	Edda	Allures 45
NED/NED7350	Eelgersee	Dufour 44x2.10
EST/EST850	Eesti Meedia ST	ONE OFF
NOR/NOR9580	Effie Marconi	BAVARIA 37 AC 99-0
RSA/RSA3638	Eileen Taigh	Vickers 41
NOR/NOR12085	Eir V	Bavaria 33 CR
NOR/NOR13882	El Dragon III	A 31
NED/NED7661	El Toro	Etchell
NOR/NOR14206	El Torres	Hanse 350
CRO/CRO1959	Ela Ina	Bavaria CR 45
NOR/NOR14147	Elanor	Elan 350
NOR/NOR14418	Elanthea	Elan 350
NOR/NOR11464	Eldorado	X-37
NED/NED8836	Element	Waarschip 740 ocea
NOR/NOR476	Elin Express 	EXPRESS
BUL/BUL34	Elina	Bavaria 34 Cruiser
NOR/NOR11934	Elisabeth	hanse 371
NOR/NOR15336	Elise	Sun Odyssey 36i
NOR/NOR15021	Elise	Nauticat 385
NED/NED7857	Elixer	J-109
NED/NED6169	Elke	FIRST 40
NOR/NOR154	Ellida 3,5	X-35 OD
NOR/NOR14924	Elly	Hanse 400 10-
NOR/NOR10259	Elvira	Sun Legende 41
ISR/ISR400	Ely 1	Oceanis 400
NED/NED7782	Elyxir	X-362 sport
NOR/NOR284	Emami	MELGES 24 OD
NOR/NOR8180	Emiliane	FIRST 325
NED/NED7698	Emozione	COMET 45S x 2.70
NOR/NOR9320	Empire	BAVARIA 42 AC 98-0
NED/NED8430	Endeavour	-
NOR/NOR12512	Endorfine	Elan 340
NED/NED8380	Endorphin	Dehler 41
NOR/NOR13638	Eneste Søster	Hanse 350
NOR/NOR11439	Enigma	First 36.7
NED/BEL3418	Enigma	Sigma 38 OOD
AUS/AUS2000	Enterprise	Farr 40 MOD
NOR/NOR10745	Eowyn	First 36.7
ISR/ISR35	Epoxy Lady	XC-35
NED/NED8921	Era	Stadt 34
CRO/CRO2413	Erco	Dufour 460 GL
NOR/NOR9993	Erina	BAVARIA 37 AC 99-0
ESP/ESP9229	Es tes unno...	Dufour 44 Race
RSA/RSA43	Escape	L 26
NED/NED8721	Esprit	Hanse 470e
NOR/DEN4321	Essex Girl	ONE OFF
ISR/ISR71538	Etchell	Etchell
AUS/E2	Euphoria 2	First 42
NOR/NOR12541	Eureka	Elan 410
CRO/CRO2035	Eveline	Bavaria CR 46
NED/NED9109	Everlong	J-109
NED/NED8351	Evolutix 5	Elan 310
NED/NED8291	Ewent	Dehler 41
NOR/NOR506	Ex99	EXPRESS
NOR/NOR101	Excalibur	X-79 OD
NED/NED9880	Excession	IMX-38
NOR/NOR5952	Exciter	SCANMAR 33
NOR/NOR13674	Exciter	Gambler 38
NED/NED7856	Existence	Dehler 41 DS
NOR/NOR10579	Exita	X-332
NOR/NOR21	Expresso	EXPRESS
NED/NED3800	Exquis	X-312
NOR/NOR12575	Extase	X-34
NED/GBR362	Extra Djinn	X-362 Sport
ITA/ITA14889	FAAMU-SAMI	FIRST 36.7
NOR/NOR12312	FADERENS BESLUTNING	makTEN
ITA/ITA14859	FAI UN PO TU	EXPLORER 20
GRE/GRE1596	FAIRYTALE	ELAN 40 SD FK
GER/X79274	FAKSE	X-79 OD
ESP/ESP5510	FALBALA	FIRST 31.7
SUI/SUI500	FALCON	PSAROS 33
ARG/URU266	FALUA	DUFOUR 34
ITA/ITA16977	FANCY	DUFOUR 365 GL
ESP/FRA36940	FANDANGO 300	A 40 RC
ITA/MLT1248	FANTAGHIRO'	ILC 40
ITA/ITAFANSI	FANTASIA	FANTASIA 27
ITA/ITA14544	FANTASIA	GRAND SOLEIL 43
ITA/ITA069UFO22	FANTASMA JUNIOR	UFO 22
ESP/ESP7565	FANYTAS	DUFOUR 34
ITA/ITA17325	FAR STAR	SWAN 42
